nama,id_siswa,kelas,Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (S2),Pendidikan Pancasila (S2),Bahasa Inggris (S2),Bahasa Mandarin (S2),Matematika (Umum) (S2),Biologi (S2),Fisika (S2),Kimia (S2),Geografi (S2),Sejarah (S2),Sosiologi (S2),Ekonomi (S2),"Pendidikan Jasmani, Olahraga, dan Kesehatan (S2)",Informatika (S2),Seni Musik (S2),Bahasa Indonesia (S2),Rata-rata (S2)
Juwita Widiastuti,44167,10A,45.18588296,69.1376244,50.7350492,49.4559178,62.7957637,69.88167357,64.60427563,60.50245714,60.65668324,61.94998933,61.47755448,59.08886866,58.20391706,57.3699459,53.91308859,56.27953615,58.82738924,53,78,60,55,63,74,68,69,72,73,70,60,69,64,56,65,65.56
Nanda Wardana,42012,10A,49.20656716,57.1796531,52.7283957,52.15340465,58.57082199,64.63136266,62.26293426,49.81884821,52.72321055,62.37520717,52.75891426,56.54818548,60.42161173,52.82962896,58.19822876,51.00122376,55.8380124,54,63,61,65,66,71,72,56,53,64,65,59,68,54,68,54,62.06
Putri Iskandar,67871,10A,58.20297314,62.80872103,53.24484269,63.41218505,61.11162236,63.97226113,62.32938203,68.03051351,61.83593387,59.06278365,61.82129887,63.9263015,61.45411171,61.41276981,57.69985292,57.89530677,61.13880375,65,65,55,71,66,70,62,69,73,61,66,70,62,72,63,62,65.75
Zainal Widodo,36019,10A,43.42057242,59.18148249,44.2142826,46.96907279,46.84156245,54.90822066,48.95885039,56.67230914,47.06614566,51.82856959,46.25686351,61.15934442,44.49560668,51.98270233,53.60248318,52.50259426,50.62879141,48,62,44,59,52,58,60,60,48,54,48,62,47,67,54,52,54.69
Bayu Hakim,26904,10A,50.44897254,50.72630734,51.5944682,50.64040083,56.19480642,62.42802585,48.58795191,44.52639594,50.9340006,64.27395753,47.357038,59.57099486,59.76391491,48.60746963,54.22032623,59.51739395,53.71202655,51,51,54,49,59,59,48,45,45,63,49,58,54,46,50,61,52.62
Utari Purwanti,50908,10A,55.29292365,56.17066055,54.28015778,52.1147787,53.94217463,51.06886102,57.3589797,53.3386962,58.35749191,49.40908412,58.84296351,61.35620716,47.21988414,59.0588452,63.32690732,51.14035726,55.1424358,62,62,62,62,59,49,67,57,74,52,62,69,55,66,66,51,60.94
Bambang Purwanti,89199,10A,63.29870633,57.03093945,51.41078512,54.65699901,57.72747896,55.31587136,57.62962436,50.33247643,55.78264852,47.86727191,54.37971409,50.41630619,51.25819469,61.11631027,60.392395,57.981535,55.41232854,66,64,61,60,60,53,61,59,57,56,59,58,47,60,64,70,59.69
Rudi Kartini,57031,10A,56.10967284,59.98919441,67.63672516,62.27982123,73.16788436,63.53782586,62.53148225,60.02565434,62.23894119,60.80888748,65.11178005,66.35474825,57.64128936,54.9150719,52.3902098,64.1111933,61.80314886,55,70,69,65,73,67,67,68,62,63,76,76,60,60,65,64,66.25
Dewi Prasetyo,94488,10A,49.94304659,44.69542666,57.40277265,67.92487721,55.42952506,59.65233349,55.86902642,54.96543136,60.05526204,54.0085069,56.79684119,57.06836865,52.11942735,60.42009137,54.58508084,51.68115382,55.78857323,48,41,57,71,57,53,58,50,63,56,56,59,51,61,50,51,55.12
Naufal Fauzi,15027,10A,55.62103071,48.44614158,53.07938728,52.89288651,58.36795932,55.31197266,52.8133467,57.02731299,59.88951924,55.72753303,52.99024459,46.37930033,47.61291318,51.41235797,49.89092048,52.00362498,53.09165322,58,47,66,54,62,63,58,60,64,58,57,53,48,61,55,55,57.44
Ranti Hariyadi,79224,10A,67.61149347,69.97670762,66.97574995,69.76075206,67.65061592,57.45091101,62.63156688,66.60780607,61.27977013,70.32788749,74.98199801,73.4220531,66.26102949,74.78187453,68.07158113,65.64281399,67.71466318,72,83,82,77,72,63,69,77,61,80,74,76,71,81,73,71,73.88
Alya Paramita,62420,10A,55.80410518,57.35877007,56.9302344,59.72319961,59.6739884,58.8863486,61.05580935,64.82434987,63.61888917,51.44662866,46.10151282,63.54271805,52.03672501,57.74729149,53.02055337,49.86121631,56.97702127,62,59,67,69,65,73,75,71,73,62,47,70,54,59,59,56,63.81
Erlangga Mulyani,25491,10A,63.04495466,64.13341682,57.45508902,47.38242956,57.60641878,62.29666105,52.94308318,61.25444062,60.26109178,63.23409852,60.93554287,55.47229632,66.32049853,59.54499316,60.20111833,55.67130123,59.23483965,64,77,68,52,67,68,60,73,59,67,66,62,66,68,61,56,64.62
Maman Paramita,24712,10A,50.65984781,48.4522455,52.01152877,61.43480147,46.01675335,44.80845208,60.23211071,51.82964068,49.53089538,58.07578251,49.84818137,62.00630764,56.26588843,50.43670203,63.66280014,49.84768445,53.44497639,53,44,54,55,42,44,61,50,48,61,53,61,55,50,70,50,53.19
Satria Gunardi,97411,10A,60.98856324,58.77454928,63.78679282,65.08564236,57.43810712,53.51099703,59.57794709,53.88950953,67.34502262,57.96076303,55.45147862,58.20148791,50.54245493,52.42001618,63.28015592,53.99361498,58.26544392,64,62,62,62,64,54,55,62,67,49,60,51,51,55,65,59,58.88
Fatan Saraswati,95357,10A,55.32005804,63.23787671,66.48313372,64.1493795,65.53485138,56.77063751,53.44555961,68.06128121,58.94121375,59.30044787,67.19558366,63.335763,62.83405181,71.37962467,57.3370218,65.19381359,62.40751861,61,62,69,63,68,57,54,66,61,64,64,61,72,68,56,69,63.44
Oki Prasetyo,97111,10A,54.53009774,55.58799351,61.88737424,56.78421089,56.93651251,59.6075688,52.42026847,50.04898378,49.02098614,44.41324917,64.52606776,48.72899028,53.13876399,52.86096561,55.7820656,58.32371818,54.66236354,62,67,62,64,61,63,58,52,54,50,74,59,56,57,64,63,60.38
Adi Mardhiah,70746,10A,66.18085753,58.9631029,61.04288152,63.29138984,60.63503446,69.91521797,64.33336485,65.55287902,65.19289644,67.74585938,62.78359789,55.39433035,63.87692985,58.62170562,59.23540668,64.81031019,62.97348528,82,67,82,83,82,82,80,85,80,80,78,69,74,62,70,68,76.5
Sinta Lesmana,92135,10A,63.18822191,57.10316443,58.54097161,65.50788127,58.20057245,70.00522212,59.82435478,48.19299275,60.76351466,58.90259847,63.44557032,60.36271331,56.30452663,50.87531537,55.95169026,52.74420428,58.74459466,62,56,56,70,60,73,61,44,63,63,68,62,56,51,58,48,59.44
Qori Saputra,16981,10A,55.638914,61.48442327,66.89105377,60.5148889,52.56211594,60.76454459,64.52468868,55.49261673,57.87144542,58.61497222,54.61703969,61.78293342,57.93679051,60.63919347,54.10407036,56.35423975,58.73712067,56,70,73,66,57,67,68,59,70,57,53,70,58,58,63,66,63.19
Xenia Indrawati,82494,10A,60.60337373,55.12730118,65.6262862,54.99328601,58.11489057,61.6544211,49.89963827,48.18742288,49.36318537,63.30438746,54.23217621,69.78246337,54.17022895,57.91422345,64.7020167,67.02193138,58.41857705,63,56,73,68,67,66,58,50,56,64,59,79,62,65,71,69,64.12
Vina Indrawati,56449,10A,79.56890881,75.30322208,74.38170355,72.22402567,73.1531963,66.50546234,65.17039651,69.24451864,68.41046781,66.99525068,72.74332816,74.03791697,69.70342535,76.64904133,63.55294535,68.29309363,70.99605645,70,75,74,72,72,67,65,65,69,67,68,77,69,79,63,63,69.69
Eva Handayani,12649,10A,56.34840227,50.59983079,59.51911045,59.32377633,67.49976259,63.0865723,54.81157975,69.20297671,66.03768235,62.84300239,58.80009338,55.13531769,58.07148,65.37625697,69.35544541,67.64873152,61.47875131,61,43,62,59,67,67,54,68,65,62,60,59,59,65,71,70,62
Kartika Hariyadi,62762,10A,52.26719825,49.11335819,55.41587659,45.86924853,56.32728393,53.97343242,52.38126285,46.73793002,57.27944589,52.04794116,48.86186118,40.35013429,54.57387083,63.57270334,63.01774143,52.42596407,52.76345331,58,51,59,52,64,65,51,53,63,57,55,44,56,69,71,57,57.81
Ihsan Pratiwi,14748,10A,61.10166426,66.45659584,59.12079736,65.62168406,67.94312595,70.24739068,63.61195418,63.09435581,59.72281163,59.97832279,62.9803301,65.94955209,68.68064769,60.09682981,71.57616741,62.75710656,64.30870851,63,72,70,71,75,76,72,76,63,65,69,73,74,63,77,77,71
Jasmine Hermawan,23892,10A,53.78894528,50.15972335,41.77458045,58.31600873,57.58000124,52.48914396,54.23073534,56.47547784,46.08305247,51.25051836,57.86710515,47.62433463,55.36357141,47.11287273,56.22793166,53.71757434,52.50384856,54,48,36,62,59,53,54,56,44,46,63,48,51,44,57,55,51.88
Umi Yudhoyono,36762,10A,52.9686589,66.86801475,57.37136009,56.99305579,62.04716396,66.78750472,55.96520888,61.35271722,63.18840048,64.50984601,61.92652575,59.20917878,56.90636687,61.47503739,55.68362292,46.43756556,59.35563925,50,69,49,59,66,60,55,56,63,71,63,59,48,58,55,47,58
Wati Mardhiah,78457,10A,52.3844484,54.72132359,38.3869872,45.15299586,53.29742069,60.48912673,50.30561792,46.56163467,49.28716718,57.07603148,46.97182848,46.20568935,47.78793177,45.43500634,50.81500096,58.32504167,50.20020327,71,72,54,58,73,80,65,68,63,73,59,59,60,64,68,68,65.94
Tegar Pradana,14037,10A,54.97446612,52.09730224,51.90001341,45.54311571,57.77461864,52.96988377,52.45667019,69.32460759,54.8528343,49.60011451,51.22728177,59.1012983,53.92542181,46.16767986,57.95521443,50.01834933,53.7430545,54,51,54,43,66,57,57,66,49,49,52,59,52,41,56,49,53.44
Dodi Sugianto,51681,10A,70.35079506,66.38454651,58.7476967,67.38938799,61.32358373,65.24817455,63.40797027,56.7525229,57.76655702,66.13411027,59.31042952,58.96606386,56.20869328,63.10230151,71.29693078,55.64664161,62.37727535,75,69,64,72,66,73,67,59,57,71,69,63,59,65,69,65,66.44
Rudi Sari,10882,10A,63.81343018,70.75343568,63.29412594,65.95419188,58.38036526,65.83386839,62.75661157,68.62098288,69.62926316,76.64015111,66.59049877,65.32131448,64.66425441,61.92650144,65.38475212,62.21532585,65.73619207,70,81,68,70,63,63,70,73,75,81,72,65,70,65,71,63,70
Taufik Widodo,59870,10A,61.69914629,67.44482908,55.82412858,66.55623421,67.44241674,60.26649877,50.24756691,57.81773147,67.34181414,60.74250109,55.86033024,58.3329668,65.05994154,63.59050925,59.66218091,59.02271935,61.05696971,65,71,61,71,75,58,49,60,76,63,61,64,71,75,67,68,65.94
Ulil Permata,16829,10A,57.46296784,54.80970767,67.49863704,57.81015624,65.50755119,67.02833885,64.41331308,57.26365702,61.44040904,59.30078056,54.90324928,61.043555,53.52655963,65.36015553,57.0986721,60.42755687,60.30595418,58,63,74,66,72,73,62,67,61,68,60,60,58,64,67,63,64.75
Naufal Wibowo,71794,10A,59.91092088,57.19995665,61.42795053,56.11996324,62.85096801,51.76458312,59.12637942,68.18912652,53.4928249,55.10575667,61.06402077,59.39239043,60.24763202,60.94041717,61.66808886,64.04298073,59.5339975,67,58,65,61,72,55,64,79,69,57,67,58,65,65,72,64,64.88
Taufik Suryani,49298,10A,54.65648333,51.40110178,55.97025855,62.10679972,51.94422132,47.73474352,58.14279339,52.00548423,41.74404232,56.84449843,49.93074912,52.15472364,54.2672917,53.55988845,56.15464913,50.4299582,53.06548043,53,53,55,60,47,45,57,50,39,62,52,59,49,54,55,50,52.5
Maman Hapsari,91062,10A,58.96630795,55.10304557,60.09483136,59.47761638,51.72358545,61.83068954,53.72096173,60.44106795,58.23721553,65.59169734,55.28344905,54.65419498,56.30368093,54.88488004,60.40048847,48.31922592,57.18955864,65,60,62,69,53,69,52,64,69,69,61,66,61,61,68,48,62.31
Citra Novita,19795,10A,52.42839405,52.35779154,62.44834411,66.24987301,57.17456005,56.85269753,58.04706696,63.50619766,53.06004047,58.88865106,62.57279429,60.20227699,58.64471423,62.70203661,44.18064468,61.08618274,58.15014162,52,51,66,67,65,58,60,64,52,57,62,60,58,65,45,60,58.88
Vero Kartini,55675,10A,62.01523272,56.13244665,67.84162413,72.15390386,64.59836856,70.04998387,73.34700242,71.8601834,73.48543378,68.99624859,65.66277933,57.27578207,64.05529869,61.06937815,76.14032472,64.40618207,66.81813581,76,67,72,90,83,79,96,80,92,88,86,62,84,75,89,84,81.44
Lukman Anggraini,59503,10A,62.33411548,64.47551833,61.93610368,70.19334665,58.60484464,62.69112872,58.00573852,55.11797889,58.65924599,61.53290746,59.57158033,58.25598655,54.68650413,61.30256358,54.19448958,65.51837127,60.44252649,62,62,62,72,71,66,66,63,69,64,65,62,62,71,68,69,65.88
Citra Panjaitan,82556,10A,51.59699799,43.89704173,49.63875384,47.4240172,52.78067178,57.88705145,41.80893687,51.75992962,50.38413525,54.54149961,52.25078236,47.42495256,49.58952954,47.20466994,56.56483492,51.29135747,50.37782263,57,39,48,45,51,52,46,56,52,51,53,50,51,47,61,49,50.5
Nanda Setiawan,24071,10A,71.12637328,61.31711578,58.07838601,54.05184788,52.60472147,53.69974013,62.9560531,64.16404496,53.71446634,66.09561142,59.20511459,62.35438491,69.68152299,66.10461643,60.27776661,57.16445872,60.78726404,78,63,60,54,67,59,73,65,58,73,70,65,73,68,65,58,65.56
Anisa Sukmana,27377,10A,47.31551159,54.478822,57.0189374,53.13869096,57.41830376,58.45884801,56.95030869,54.82457569,58.91786196,60.28429185,52.62259321,65.1292505,57.58164794,58.16883671,61.61566071,59.24066925,57.07280064,53,72,58,54,61,69,52,52,62,74,58,65,66,70,64,66,62.25
Endang Putranto,67978,10A,61.38107317,58.05101082,53.55320313,58.42290762,50.89675896,57.15818853,56.44924005,55.57480571,55.97270244,47.20614477,53.87176546,57.0796145,57.41467196,51.47701429,62.9439292,52.28451576,55.60859665,65,69,57,61,62,60,62,58,65,57,56,64,65,57,74,63,62.19
Miftah Lestari,40353,10A,67.90566745,65.19435325,59.82724489,71.93493591,57.09019729,67.65415231,68.06129303,59.7052804,70.02070794,61.80814887,64.50184959,64.35999064,62.38683774,67.11242281,67.02582505,54.31572158,64.3065393,67,66,55,70,55,66,68,60,69,60,64,69,58,71,62,55,63.44
Hana Susilo,85316,10A,71.67669883,56.84253767,70.31772863,70.7885233,59.70016546,63.10092617,59.62647427,64.08039246,63.61482619,69.05330027,71.70654134,72.13341667,62.34415748,64.10888824,56.73780665,61.12564728,64.80987693,79,64,75,77,68,65,68,67,74,75,77,70,70,69,62,66,70.38
Lina Anggraini,28137,10A,69.48065876,72.73431471,58.48465624,61.6940793,64.52437181,66.05720639,60.608383,66.77670582,62.28720386,64.58413924,67.38782184,64.68851194,62.47447114,64.10835158,64.2145858,62.80634545,64.55698793,76,70,62,67,69,71,67,74,68,73,66,69,69,70,67,66,69
Pandu Handayani,99496,10A,54.50993207,63.79714824,58.60850962,54.32651079,59.28868441,54.13481494,61.66953557,57.65212334,55.26740166,58.04249701,47.94953162,50.17007504,49.83428735,56.51862786,64.46648738,66.96041311,57.07478625,55,58,58,57,58,52,65,56,56,57,48,55,52,53,63,66,56.81
Agus Iskandar,97339,10A,61.64419363,60.9581605,49.44864945,55.74056912,54.51501936,55.34970013,57.61321903,56.09348523,48.55743907,62.1934894,53.09022299,59.65017244,68.82435147,53.85701516,45.80250051,57.02391701,56.27263153,68,67,55,59,57,62,59,60,56,69,53,66,82,62,50,67,62
Tyo Yudhoyono,82812,10A,67.16111533,71.44805443,55.50856918,64.13981327,59.32976487,61.12657539,74.87803389,54.14146552,62.92501546,63.99478302,67.08524878,62.14623292,63.19656985,59.69807432,63.00195186,59.94035578,63.10760149,68,70,58,63,56,63,81,51,63,67,69,64,63,52,64,61,63.31
Naila Handayani,91122,10A,67.98558508,63.02967396,66.76322761,64.73141157,70.50797689,64.62075702,56.01256329,71.18733314,60.34906413,61.60889394,61.89941917,71.7499161,54.19935457,80.5664683,70.15800968,65.99392021,65.71022342,73,89,75,80,87,81,73,87,73,75,74,87,60,97,85,85,80.06
Juwita Prasetya,41039,10A,57.32965881,59.03189919,60.20974095,60.83020674,60.38215114,58.05203222,56.61743671,56.84776239,56.62958741,63.2729793,60.57191242,42.90218564,60.88363269,58.57780978,57.51058503,55.66153655,57.83194481,72,63,75,72,64,66,61,56,62,62,67,51,65,65,63,64,64.25
Hendra Wijaya,31562,10A,64.69226872,63.80933743,55.20731678,61.10696655,54.21342144,52.17361429,55.93811899,63.38367248,63.83733034,61.63713222,62.69718405,61.65259655,55.86429714,61.23131784,63.07375274,62.84316177,60.21009308,68,73,63,67,57,59,61,75,69,73,68,63,74,60,60,60,65.62
Zainal Nugroho,62278,10A,60.41289199,58.00984437,56.22556617,59.81907632,54.33571883,50.05895187,53.65299031,50.74381191,51.09243376,53.74573178,50.50622552,52.92851748,45.0002518,55.53479367,54.47435251,50.38288197,53.55775252,68,60,69,64,63,54,59,60,57,65,52,53,43,66,63,54,59.38
Hendra Putra,11597,10A,57.31519522,58.70681757,45.98116756,50.20534299,50.17325513,49.31945137,58.16634109,53.04983619,52.69639267,43.99965506,57.19605703,47.82267491,54.31863003,55.40585157,60.82225986,47.47486488,52.66586207,64,64,47,55,48,56,75,59,59,43,59,56,54,57,68,56,57.5
Umi Permata,29126,10A,48.96506833,64.98187684,73.06518502,70.25736088,65.11092619,61.60444818,68.0982421,59.19489811,66.44441796,66.58997991,69.36367865,77.86092931,66.02470895,61.51781098,63.93475755,55.21724959,64.88947116,56,80,69,77,79,65,74,67,63,73,71,91,70,64,72,62,70.81
Vito Widodo,82796,10A,63.30763449,64.73478795,64.16075815,67.5429745,62.66910048,72.38635348,66.78223547,66.73469854,65.14172656,67.55715356,70.90669147,62.44554906,63.4906177,65.26257,60.05184553,62.68491084,65.36622549,69,67,69,67,72,75,70,64,68,79,78,72,69,60,65,68,69.5
Ranti Puspitasari,91237,10A,57.25884502,64.0118953,60.95275604,60.60789895,63.8944392,58.95309045,61.59227364,59.12384063,60.96676114,56.7261561,47.4458636,58.96855358,66.75369007,64.2710264,64.46693682,65.820603,60.73841437,69,86,75,65,77,77,77,64,77,72,58,77,81,70,83,82,74.38
Qomariyah Maulana,74560,10A,65.46095244,66.00424303,61.92940501,63.43730021,68.09652024,71.03708668,64.32043311,62.76671817,65.02030428,68.02369823,57.79839041,53.53675972,62.26498024,58.91410236,62.4769635,64.2787629,63.46041378,71,65,73,68,75,77,71,66,71,72,64,58,66,58,67,70,68.25
Dina Fitriani,82452,10A,59.54193808,69.0705178,63.44190395,63.31055192,64.91921585,56.11401454,67.00373906,61.42935869,65.16058321,56.44889396,54.0393863,65.89762842,63.69022776,57.29792235,57.45986472,67.43535405,62.01631879,73,87,81,78,82,64,89,74,79,66,65,89,79,71,71,82,76.88
Dina Rachman,89457,10A,50.82734176,64.98776599,52.27129755,59.96636086,55.13130885,59.79033838,54.05383122,55.9604367,56.9789971,51.76346395,60.47852295,54.20833339,55.63140165,51.80265435,43.96273293,55.81926241,55.22712813,53,61,52,62,53,61,56,52,54,45,61,60,54,51,47,57,54.94
Dina Andini,28853,10A,73.87005514,65.72999947,61.71067613,60.49252388,61.91930749,64.5425736,55.90291395,67.3785865,65.3838846,65.39790666,63.99935672,61.90506132,65.17128421,64.7660487,60.03677447,58.93896916,63.57162012,79,70,67,68,71,68,60,69,64,65,65,64,72,65,65,67,67.44
Indah Rahmawati,75303,10A,68.19946431,75.43528359,61.49464745,60.3525565,68.51398704,67.94462134,68.55689115,68.90994882,66.57417156,75.13950003,59.68566294,63.54769771,67.17390903,59.47423878,66.81091081,75.99753366,67.11318905,82,84,69,73,75,77,74,77,76,84,59,67,77,66,72,83,74.69
Eko Anggraini,33799,10A,59.92530225,60.97437433,53.52004598,56.73906276,57.9448879,58.23229432,66.22908878,62.60932511,54.26358002,61.0533937,62.31197855,65.521615,67.72357324,54.74539885,55.76658225,53.53298051,59.44334272,64,62,55,55,57,56,67,62,55,58,64,66,68,56,55,65,60.31
Hendra Indahsari,17353,10A,66.65311898,70.15501015,72.75989086,67.44346316,66.22398066,68.58200824,63.64750377,78.27091189,59.78491314,68.74692117,77.94124938,67.8572175,66.8730231,66.03599117,66.92125987,74.68746065,68.91149523,80,76,82,73,75,74,71,79,58,72,77,64,73,64,76,85,73.69
Olivia Santoso,98151,10A,35.84196492,54.56844299,39.78148872,45.56801283,44.75505238,49.84404083,38.91065272,49.21213781,57.0228226,40.08540446,47.84980532,43.59136359,49.03071051,46.99701337,43.69383993,49.3406359,46.0058368,41,51,37,49,48,54,42,50,56,42,47,44,48,48,47,48,47
Faisal Pradipta,66869,10A,73.13125307,63.15499356,67.70830223,57.64314773,59.32733064,66.47154391,71.53009266,65.88757927,62.54422237,64.10596955,57.85747385,67.13208915,68.52117783,61.84906086,61.75930178,65.43890367,64.62890263,91,79,88,71,73,87,84,76,74,83,86,78,87,78,82,84,81.31
Nanda Santoso,68009,10A,58.25163666,60.10457227,70.93384429,59.20010684,58.64353458,57.19752631,64.1561952,59.52911448,57.18837015,67.0417555,67.53325036,57.43311751,51.10253558,65.47280379,57.01208621,64.38836334,60.94930082,68,60,80,61,73,59,64,63,66,73,79,61,54,68,60,64,65.81
Qisya Purwanti,99527,10A,48.65444416,62.96794994,52.4491036,62.15878384,58.57632859,53.73526615,56.46978168,61.93655553,59.03443551,61.42702815,68.38716617,50.68375519,66.59102612,59.02674294,54.01104301,51.85339512,57.99767536,45,60,59,69,61,64,61,65,69,71,73,58,74,73,58,52,63.25
Kresna Indrawati,95375,10A,59.51320193,65.06705444,59.82105828,68.01457853,53.20292543,60.39835914,54.19683666,62.2769633,64.89324083,58.35499491,47.4377346,61.45354462,62.64249664,62.48027766,66.63771484,55.10353548,60.09340733,61,67,57,68,52,58,52,64,57,53,57,59,67,62,65,57,59.75
Nadia Hakim,34421,10A,53.46323595,56.02469299,41.16921751,51.66041456,47.54125627,49.65454206,51.80053784,47.62601261,46.68361503,50.23291751,44.62592573,44.63302978,53.45902184,44.31818525,53.39371793,52.37511189,49.29133967,66,60,45,58,50,47,56,54,58,50,52,49,59,53,56,58,54.44
Naufal Santosa,88664,10A,50.27260692,55.5138173,64.87218758,53.99581291,56.57961925,61.21194503,62.81859311,57.64394613,55.91408959,66.01348987,67.59613888,63.79593081,59.32823127,54.86031195,54.74941853,61.51421109,59.16752189,59,60,67,59,60,68,67,59,63,68,71,67,65,54,60,71,63.62
Fatan Gunawan,49312,10A,63.87755396,68.79355582,65.03781332,54.27016135,67.04530095,56.79525972,59.8657065,63.03656389,71.76390031,77.33515564,64.81917815,60.86957976,64.4580911,66.22383999,60.18222473,70.76161964,64.69596905,70,72,68,53,72,65,63,66,83,82,71,68,69,74,69,79,70.25
Putri Susilo,14125,10A,68.53982402,69.87818567,70.71909148,69.49740328,71.58417273,64.30320429,64.59796145,61.88869906,69.58697638,71.28415274,69.67833455,75.76193239,67.36149013,70.7331785,61.93096584,65.45397171,68.29997151,69,78,75,79,83,70,72,72,79,81,73,79,68,75,67,70,74.38
Qomariyah Handayani,14388,10A,60.8863377,61.65415946,55.93881417,57.05065265,49.81928018,55.6235029,61.86056473,60.28467399,59.91197752,57.65751734,57.4439647,54.10704321,60.90279101,59.51351363,59.86874315,54.7784747,57.95637569,69,71,59,60,52,59,64,65,68,65,59,60,68,61,65,65,63.12
Galang Hakim,57108,10A,45.19081739,61.44329554,53.56334471,51.64365317,59.42492655,53.99746879,61.25721391,59.04256173,59.3753786,49.12775343,62.01725191,57.26378464,54.11114629,56.67447432,47.07635582,58.00079604,55.57563893,52,62,44,62,64,54,70,63,60,56,67,60,56,58,55,58,58.81
Eva Winata,80049,10A,52.34435724,50.72786335,49.87941885,63.05465666,54.34489781,65.15985333,54.81220747,48.95442499,51.90859258,63.67027288,56.71172389,54.7497783,58.29130591,60.00012846,63.07820886,64.73371093,57.0263376,52,54,44,70,56,68,60,46,57,71,62,58,63,65,71,75,60.75
